Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
12716,Redis,
12739,Elasticsearch,Elasticsearch
12739,,MySQL
12739,,Redis
12739,MySQL,
12739,Redis,
12742,Elasticsearch,Firebase
12742,,MongoDB
12742,,MySQL
12742,,PostgreSQL
12742,,SQLite
12742,Firebase,
12742,MySQL,
12747,Microsoft SQL Server,Elasticsearch
12747,,Microsoft SQL Server
12747,,PostgreSQL
12747,PostgreSQL,
12749,DynamoDB,Elasticsearch
12749,,MongoDB
12749,,MySQL
12749,,Redis
12749,Elasticsearch,
12749,MongoDB,
12749,Redis,
12754,Elasticsearch,Microsoft SQL Server
12754,,MySQL
12754,,Oracle
12754,,PostgreSQL
12754,MongoDB,
12754,PostgreSQL,
12754,Redis,
12757,Elasticsearch,Elasticsearch
12757,,MariaDB
12757,,Redis
12757,PostgreSQL,
12757,Redis,
12769,Microsoft SQL Server,Microsoft SQL Server
12786,Firebase,DynamoDB
12786,,Firebase
12786,,Microsoft SQL Server
12786,,MongoDB
12786,,MySQL
12786,,Oracle
12786,,SQLite
12786,Microsoft SQL Server,
12786,MySQL,
12786,Oracle,
12788,Microsoft SQL Server,Microsoft SQL Server
12788,,MySQL
12788,,SQLite
12797,Elasticsearch,DynamoDB
12797,,MySQL
12797,MongoDB,
12797,MySQL,
12797,Redis,
12820,Microsoft SQL Server,Microsoft SQL Server
12820,Redis,
12828,Microsoft SQL Server,Elasticsearch
12828,,Microsoft SQL Server
12842,PostgreSQL,Cassandra
12842,,MariaDB
12842,,MySQL
12842,,PostgreSQL
12842,,Redis
12842,,SQLite
12842,Redis,
12855,DynamoDB,Microsoft SQL Server
12855,Elasticsearch,
12855,MongoDB,
12870,Elasticsearch,Elasticsearch
12870,,Firebase
12870,,MySQL
12870,,Redis
12870,Firebase,
12870,MySQL,
12870,Redis,
12875,DynamoDB,DynamoDB
12875,,MongoDB
12875,,PostgreSQL
12875,,Redis
12875,MongoDB,
12875,PostgreSQL,
12875,Redis,
12882,PostgreSQL,PostgreSQL
12885,Firebase,Firebase
12885,,MariaDB
12885,,MongoDB
12885,,MySQL
12885,,PostgreSQL
12885,,SQLite
12885,MariaDB,
12885,MongoDB,
12885,MySQL,
12885,Redis,
12885,SQLite,
12890,Microsoft SQL Server,MariaDB
12890,,Microsoft SQL Server
12890,,MySQL
12890,,SQLite
12890,Redis,
12890,SQLite,
12897,Elasticsearch,Microsoft SQL Server
12897,,MongoDB
12897,,MySQL
12897,,SQLite
12918,Microsoft SQL Server,Microsoft SQL Server
12936,MongoDB,MongoDB
12936,,MySQL
12966,Cassandra,Firebase
12966,,MongoDB
12966,,MySQL
12966,Couchbase,
12966,DynamoDB,
12966,Firebase,
12966,MongoDB,
12966,MySQL,
12966,PostgreSQL,
12973,Firebase,Cassandra
12973,,Firebase
12973,,MySQL
12973,,Oracle
12973,,PostgreSQL
12973,,SQLite
12973,SQLite,
12990,Elasticsearch,Elasticsearch
12990,,MySQL
12990,,PostgreSQL
12990,,Redis
12990,PostgreSQL,
12990,Redis,
13016,MongoDB,Microsoft SQL Server
13016,,Oracle
13017,Microsoft SQL Server,Microsoft SQL Server
13017,MongoDB,
13021,MySQL,MySQL
13021,,PostgreSQL
13025,MariaDB,DynamoDB
13025,,MariaDB
13025,,MySQL
13025,,Redis
13025,,SQLite
13025,MySQL,
13025,Redis,
13025,SQLite,
13029,Elasticsearch,Elasticsearch
13029,,MariaDB
13029,,Microsoft SQL Server
13029,,MongoDB
13029,,MySQL
13029,,Oracle
13029,,PostgreSQL
13029,,Redis
13029,,SQLite
13029,MongoDB,
13029,PostgreSQL,
13038,DynamoDB,DynamoDB
13038,,Elasticsearch
13038,,SQLite
13038,Elasticsearch,
13038,SQLite,
13094,Elasticsearch,Elasticsearch
13094,,Firebase
13094,,MongoDB
13094,,MySQL
13094,,PostgreSQL
13094,,Redis
13094,MongoDB,
13094,PostgreSQL,
13094,Redis,
13104,Microsoft SQL Server,Microsoft SQL Server
13104,,MySQL
13104,MySQL,
13120,MongoDB,DynamoDB
13120,,MongoDB
13120,,PostgreSQL
13120,,Redis
13127,Firebase,Firebase
13127,,Redis
13127,Redis,
13146,Cassandra,MySQL
13146,,Redis
13146,Elasticsearch,
13146,Firebase,
13146,MongoDB,
13146,MySQL,
13146,PostgreSQL,
13146,Redis,
13155,Firebase,Firebase
13155,,Microsoft SQL Server
13155,,MySQL
13161,Elasticsearch,Firebase
13161,,Microsoft SQL Server
13161,Firebase,
13161,Microsoft SQL Server,
13161,MongoDB,
13161,Redis,
13166,Elasticsearch,Elasticsearch
13166,,Microsoft SQL Server
13166,Microsoft SQL Server,
13173,DynamoDB,DynamoDB
13173,,MariaDB
13173,,MongoDB
13173,,MySQL
13173,,PostgreSQL
13173,Firebase,
13173,MariaDB,
13173,MongoDB,
13173,MySQL,
13175,Cassandra,Firebase
13175,,MySQL
13175,,Oracle
13175,,PostgreSQL
13175,,SQLite
13175,Couchbase,
13175,DynamoDB,
13175,Elasticsearch,
13175,MongoDB,
13177,MongoDB,Microsoft SQL Server
13177,,MongoDB
13177,,MySQL
13177,,SQLite
13178,Cassandra,Elasticsearch
13178,,PostgreSQL
13178,,Redis
13178,DynamoDB,
13178,Firebase,
13178,PostgreSQL,
13178,Redis,
13219,Cassandra,Elasticsearch
13219,,MariaDB
13219,,MongoDB
13219,,MySQL
13219,,Redis
13219,MariaDB,
13219,MongoDB,
13219,MySQL,
13219,Redis,
13233,Elasticsearch,Elasticsearch
13233,,Microsoft SQL Server
13233,,MongoDB
13233,,PostgreSQL
13233,,Redis
13233,Microsoft SQL Server,
13233,Redis,
13239,Microsoft SQL Server,Microsoft SQL Server
13239,,MongoDB
13239,,Redis
13239,,SQLite
13239,Redis,
13239,SQLite,
13263,Microsoft SQL Server,Microsoft SQL Server
13263,SQLite,
13287,Elasticsearch,Microsoft SQL Server
13287,,MongoDB
13287,,PostgreSQL
13287,,SQLite
13287,Microsoft SQL Server,
13287,MongoDB,
13287,PostgreSQL,
13317,Firebase,Firebase
13317,,Microsoft SQL Server
13317,Microsoft SQL Server,
13332,Elasticsearch,DynamoDB
13332,,Elasticsearch
13332,,MySQL
13332,,Redis
13332,MySQL,
13332,Redis,
13334,PostgreSQL,PostgreSQL
13334,,SQLite
13334,SQLite,
13342,MariaDB,Microsoft SQL Server
13342,,MongoDB
13342,,MySQL
13342,MongoDB,
13349,Microsoft SQL Server,Firebase
13349,,MariaDB
13349,,Microsoft SQL Server
13349,,MySQL
13349,,SQLite
13349,MongoDB,
13350,Elasticsearch,MySQL
13350,,PostgreSQL
13350,,Redis
13350,Firebase,
13350,MySQL,
13350,PostgreSQL,
13350,Redis,
13361,PostgreSQL,Elasticsearch
13361,,Oracle
13361,,PostgreSQL
13361,,Redis
13361,Redis,
13369,Microsoft SQL Server,Microsoft SQL Server
13369,,MySQL
13369,,SQLite
13369,MySQL,
13378,PostgreSQL,Elasticsearch
13378,,Firebase
13378,,Microsoft SQL Server
13378,,MongoDB
13378,,PostgreSQL
13378,,Redis
13378,Redis,
13384,Cassandra,DynamoDB
13384,,MongoDB
13384,,PostgreSQL
13384,Firebase,
13384,Redis,
13394,Firebase,DynamoDB
13394,,Elasticsearch
13394,,Firebase
13394,,MongoDB
13394,,MySQL
13394,,PostgreSQL
13394,,Redis
13394,,SQLite
13394,MongoDB,
13394,PostgreSQL,
13404,Elasticsearch,Elasticsearch
13404,,Firebase
13404,,Microsoft SQL Server
13404,,MongoDB
13404,,MySQL
13404,,PostgreSQL
13404,,SQLite
13404,Firebase,
13404,MongoDB,
13404,PostgreSQL,
13404,SQLite,
13405,PostgreSQL,DynamoDB
13405,,MySQL
13405,,PostgreSQL
13405,,Redis
13405,Redis,
13406,MariaDB,MariaDB
13406,,Microsoft SQL Server
13406,,MongoDB
13406,,MySQL
13406,,SQLite
13406,Microsoft SQL Server,
13406,MySQL,
13406,SQLite,
13409,MySQL,Firebase
13409,,MySQL
13421,MongoDB,Microsoft SQL Server
13421,,MongoDB
13421,,MySQL
13421,,Oracle
13421,,PostgreSQL
13421,MySQL,
13421,Oracle,
13422,Cassandra,Cassandra
13422,,Microsoft SQL Server
13422,,MySQL
13422,,Oracle
13422,MySQL,
13433,Microsoft SQL Server,Microsoft SQL Server
13433,,MongoDB
13433,MongoDB,
13441,MongoDB,MongoDB
13442,PostgreSQL,Elasticsearch
13442,,MySQL
13442,,SQLite
13442,SQLite,
13461,Microsoft SQL Server,Microsoft SQL Server
13461,,MySQL
13461,,SQLite
13461,MySQL,
13462,DynamoDB,PostgreSQL
13462,,SQLite
13462,Elasticsearch,
13462,Firebase,
13462,MongoDB,
13485,Firebase,Firebase
13485,,MariaDB
13485,,Microsoft SQL Server
13485,,MySQL
13485,MariaDB,
13485,Microsoft SQL Server,
13485,MongoDB,
13485,MySQL,
13485,Oracle,
13485,PostgreSQL,
13485,SQLite,
13496,MongoDB,Cassandra
13496,,DynamoDB
13496,,Firebase
13496,,MongoDB
13496,,MySQL
13503,Elasticsearch,Elasticsearch
13503,,MySQL
13503,,Oracle
13503,,PostgreSQL
13503,,Redis
13503,,SQLite
13503,PostgreSQL,
13503,Redis,
13503,SQLite,
13515,Microsoft SQL Server,Microsoft SQL Server
13515,,Oracle
13515,Oracle,
13516,Oracle,Oracle
13516,PostgreSQL,
13527,Couchbase,Elasticsearch
13527,,MariaDB
13527,,MongoDB
13527,,MySQL
13527,,PostgreSQL
13527,,Redis
13527,,SQLite
13527,Elasticsearch,
13527,MongoDB,
13527,Redis,
13542,Firebase,Firebase
13542,,SQLite
13542,SQLite,
13552,Elasticsearch,Microsoft SQL Server
13552,,Redis
13552,Microsoft SQL Server,
13552,Redis,
13572,Elasticsearch,MySQL
13572,,Redis
13572,,SQLite
13572,MongoDB,
13572,MySQL,
13572,PostgreSQL,
13572,Redis,
13572,SQLite,
13584,Firebase,Firebase
13584,,Microsoft SQL Server
13584,,Redis
13584,,SQLite
13584,Microsoft SQL Server,
13584,PostgreSQL,
13584,Redis,
13587,Cassandra,DynamoDB
13587,,MongoDB
13587,,MySQL
13587,,PostgreSQL
13587,,Redis
13587,Couchbase,
13587,DynamoDB,
13587,Elasticsearch,
13587,MongoDB,
13587,PostgreSQL,
13587,Redis,
13588,Cassandra,Elasticsearch
13588,,MariaDB
13588,,MongoDB
13588,,MySQL
13588,,PostgreSQL
13588,,Redis
13592,Firebase,Firebase
13592,,SQLite
13592,MySQL,
13592,PostgreSQL,
13592,SQLite,
13596,Microsoft SQL Server,Microsoft SQL Server
13596,,MongoDB
13596,,MySQL
13596,,Oracle
13596,,SQLite
13596,MongoDB,
13596,SQLite,
13598,Elasticsearch,MariaDB
13598,,Microsoft SQL Server
13598,,MySQL
13598,,SQLite
13598,MariaDB,
13598,PostgreSQL,
13598,Redis,
13602,Cassandra,Firebase
13602,,Microsoft SQL Server
13602,,MySQL
13602,,PostgreSQL
13602,,SQLite
13602,Elasticsearch,
13602,Firebase,
13602,IBM DB2,
13602,MongoDB,
13602,SQLite,
13609,Elasticsearch,MongoDB
13609,MongoDB,
13609,Redis,
13616,Elasticsearch,Firebase
13616,,PostgreSQL
13616,,SQLite
13616,Firebase,
13616,PostgreSQL,
13616,Redis,
13616,SQLite,
13619,PostgreSQL,MySQL
13619,,PostgreSQL
13619,,Redis
13619,,SQLite
13619,Redis,
13619,SQLite,
13624,Redis,Redis
13631,Microsoft SQL Server,Microsoft SQL Server
13641,Elasticsearch,Elasticsearch
13641,,MariaDB
13641,,MongoDB
13641,,MySQL
13641,,PostgreSQL
13641,MongoDB,
13641,PostgreSQL,
13643,Cassandra,Cassandra
13643,PostgreSQL,
13643,SQLite,
13655,Elasticsearch,Elasticsearch
13655,,Firebase
13655,,MySQL
13655,,Redis
13655,,SQLite
13655,Firebase,
13655,MongoDB,
13655,MySQL,
13655,PostgreSQL,
13655,Redis,
13655,SQLite,
13671,Elasticsearch,Microsoft SQL Server
13671,,Redis
13671,Microsoft SQL Server,
13671,PostgreSQL,
13697,Elasticsearch,Elasticsearch
13697,,Firebase
13697,,MariaDB
13697,,MongoDB
13697,,MySQL
13697,,Redis
13697,MariaDB,
13697,MongoDB,
13697,MySQL,
13697,Redis,
13704,DynamoDB,DynamoDB
13704,,Elasticsearch
13704,,MariaDB
13704,,MySQL
13704,,Redis
13704,MariaDB,
13704,PostgreSQL,
13704,Redis,
13710,MariaDB,MariaDB
13710,,Microsoft SQL Server
13710,,MySQL
13710,,PostgreSQL
13710,Microsoft SQL Server,
13710,MongoDB,
13710,MySQL,
13710,PostgreSQL,
13710,Redis,
13712,Microsoft SQL Server,Microsoft SQL Server
13716,DynamoDB,DynamoDB
13716,,MongoDB
13716,,PostgreSQL
13716,PostgreSQL,
13716,Redis,
13729,Firebase,Elasticsearch
13729,,Firebase
13729,,MongoDB
13729,,PostgreSQL
13729,MongoDB,
13729,MySQL,
13729,PostgreSQL,
13741,Elasticsearch,MariaDB
13741,,Microsoft SQL Server
13741,,MongoDB
13741,,MySQL
13741,,PostgreSQL
13741,,Redis
13741,Firebase,
13767,Elasticsearch,Elasticsearch
13767,,MongoDB
13767,MongoDB,
13778,MongoDB,MySQL
13778,Oracle,
13783,Elasticsearch,Elasticsearch
13783,,PostgreSQL
13783,PostgreSQL,
13843,MongoDB,MongoDB
13843,,MySQL
13843,,SQLite
13843,MySQL,
13854,DynamoDB,Firebase
13854,,MariaDB
13854,,MongoDB
13854,,MySQL
13854,,PostgreSQL
13854,,Redis
13854,Firebase,
13854,MongoDB,
13854,PostgreSQL,
13865,Cassandra,Firebase
13865,,Oracle
13865,,SQLite
13865,PostgreSQL,
13865,Redis,
13865,SQLite,
13868,DynamoDB,Cassandra
13868,,Firebase
13868,,MariaDB
13868,,Microsoft SQL Server
13868,,MongoDB
13868,,MySQL
13868,,SQLite
13868,Elasticsearch,
13868,Firebase,
13868,MariaDB,
13868,Microsoft SQL Server,
13868,MongoDB,
13868,MySQL,
13868,PostgreSQL,
13868,SQLite,
13928,DynamoDB,DynamoDB
13928,,Elasticsearch
13928,,Microsoft SQL Server
13928,PostgreSQL,
13928,Redis,
13938,Elasticsearch,MongoDB
13938,MongoDB,
13947,PostgreSQL,MariaDB
13947,,MySQL
13947,SQLite,
13960,Microsoft SQL Server,Microsoft SQL Server
13960,,MongoDB
13960,,MySQL
13960,,Oracle
13960,,PostgreSQL
13960,MongoDB,
13960,MySQL,
13960,Oracle,
13960,PostgreSQL,
13968,MongoDB,MySQL
13994,Elasticsearch,Microsoft SQL Server
13994,,Oracle
13994,,Redis
13994,Firebase,
13994,MongoDB,
13994,PostgreSQL,
14005,Microsoft SQL Server,IBM DB2
14005,,Microsoft SQL Server
14008,Elasticsearch,Elasticsearch
14013,Firebase,Elasticsearch
14013,,MySQL
14013,,SQLite
14013,MongoDB,
14013,MySQL,
14013,SQLite,
14015,PostgreSQL,Elasticsearch
14015,,PostgreSQL
14015,,Redis
14015,,SQLite
14015,Redis,
14015,SQLite,
14017,MongoDB,MySQL
14017,MySQL,
14021,Microsoft SQL Server,Microsoft SQL Server
14028,Couchbase,MongoDB
14028,,PostgreSQL
14028,,Redis
14028,MongoDB,
14028,PostgreSQL,
14028,Redis,
14097,Oracle,Oracle
14097,,SQLite
14097,SQLite,
14111,Microsoft SQL Server,Microsoft SQL Server
14111,,MySQL
14111,MySQL,
14113,Firebase,Elasticsearch
14113,,MongoDB
14113,,MySQL
14113,,Oracle
14113,,PostgreSQL
14113,MongoDB,
14113,PostgreSQL,
14130,Elasticsearch,Elasticsearch
14130,,Microsoft SQL Server
14130,,MongoDB
14130,,PostgreSQL
14130,Microsoft SQL Server,
14130,PostgreSQL,
14157,DynamoDB,DynamoDB
14157,,Elasticsearch
14157,,MySQL
14157,,Redis
14157,,SQLite
14157,Elasticsearch,
14157,Firebase,
14157,MySQL,
14157,Redis,
14157,SQLite,
14172,Elasticsearch,Elasticsearch
14172,,PostgreSQL
14172,,SQLite
14172,MongoDB,
14172,PostgreSQL,
14174,Elasticsearch,Microsoft SQL Server
14174,,Redis
14174,Microsoft SQL Server,
14174,Redis,
14192,Elasticsearch,Microsoft SQL Server
14192,MongoDB,
14193,Microsoft SQL Server,Microsoft SQL Server
14193,,MySQL
14193,,Oracle
14193,,SQLite
14193,SQLite,
14223,DynamoDB,Oracle
14223,Elasticsearch,
14223,MySQL,
14223,Redis,
14231,Elasticsearch,DynamoDB
14231,,Elasticsearch
14231,,Firebase
14231,,Microsoft SQL Server
14231,,MongoDB
14231,,MySQL
14231,,PostgreSQL
14231,Firebase,
14238,Firebase,Firebase
14238,,Microsoft SQL Server
14238,,MySQL
14241,MongoDB,Elasticsearch
14241,,MongoDB
14241,,MySQL
14241,,PostgreSQL
14241,,Redis
14241,,SQLite
14241,PostgreSQL,
14241,Redis,
14245,Cassandra,Cassandra
14245,,DynamoDB
14245,,Elasticsearch
14245,,MariaDB
14245,,MySQL
14245,,PostgreSQL
14245,,Redis
14245,DynamoDB,
14245,Elasticsearch,
14245,MariaDB,
14245,PostgreSQL,
14245,Redis,
14265,Microsoft SQL Server,DynamoDB
14265,,Microsoft SQL Server
14265,,MySQL
14271,Elasticsearch,Firebase
14271,,MongoDB
14271,,PostgreSQL
14271,Firebase,
14271,MongoDB,
14271,PostgreSQL,
14271,Redis,
14277,Firebase,Firebase
14277,,MariaDB
14277,,Microsoft SQL Server
14277,,PostgreSQL
14277,PostgreSQL,
14295,DynamoDB,Microsoft SQL Server
14295,Microsoft SQL Server,
14295,MongoDB,
14295,PostgreSQL,
14297,MongoDB,MongoDB
14297,,Redis
14297,,SQLite
14297,Redis,
14297,SQLite,
14333,Elasticsearch,IBM DB2
14333,,MongoDB
14333,,MySQL
14333,Microsoft SQL Server,
14333,MongoDB,
14350,MongoDB,Elasticsearch
14350,,Microsoft SQL Server
14350,,MongoDB
14350,,MySQL
14350,,PostgreSQL
14350,MySQL,
14350,PostgreSQL,
14350,Redis,
14350,SQLite,
14359,Firebase,Firebase
14359,,Microsoft SQL Server
14359,,PostgreSQL
14359,,Redis
14359,PostgreSQL,
14430,Microsoft SQL Server,Microsoft SQL Server
14430,,Redis
14430,Redis,
14434,Elasticsearch,Couchbase
14434,,Elasticsearch
14434,,MongoDB
14434,MongoDB,
14434,PostgreSQL,
14436,Microsoft SQL Server,Microsoft SQL Server
14436,,MySQL
14436,,Redis
14436,Redis,
14437,MongoDB,MongoDB
14437,,PostgreSQL
14437,,Redis
14437,PostgreSQL,
14437,Redis,
14452,Elasticsearch,MySQL
14452,,PostgreSQL
14452,,SQLite
14452,Firebase,
14452,MongoDB,
14452,PostgreSQL,
14482,Elasticsearch,MariaDB
14482,,MySQL
14482,,PostgreSQL
14482,MariaDB,
14482,MySQL,
14482,PostgreSQL,
14482,Redis,
14487,Firebase,Microsoft SQL Server
14487,,MySQL
14487,,SQLite
14487,Microsoft SQL Server,
14487,MySQL,
14487,SQLite,
14495,Elasticsearch,DynamoDB
14495,,Microsoft SQL Server
14495,,PostgreSQL
14495,PostgreSQL,
14503,Cassandra,Cassandra
14503,,PostgreSQL
14503,Elasticsearch,
14503,PostgreSQL,
14503,Redis,
14504,MongoDB,MongoDB
14504,,PostgreSQL
14504,PostgreSQL,
14504,Redis,
14507,Elasticsearch,Microsoft SQL Server
14507,,MongoDB
14507,,MySQL
14507,,PostgreSQL
14507,Microsoft SQL Server,
14507,MongoDB,
14507,MySQL,
14515,Firebase,MySQL
14523,Cassandra,MongoDB
14523,,MySQL
14523,MongoDB,
14523,MySQL,
14523,Redis,
14526,DynamoDB,MySQL
14526,,PostgreSQL
14526,,Redis
14526,Elasticsearch,
14526,Firebase,
14526,PostgreSQL,
14526,Redis,
14535,Microsoft SQL Server,Microsoft SQL Server
14535,MongoDB,
14542,Elasticsearch,Microsoft SQL Server
14542,,Oracle
14542,Microsoft SQL Server,
14542,MySQL,
14542,PostgreSQL,
14542,Redis,
14599,Firebase,Firebase
14599,,MySQL
14599,,Oracle
14599,,SQLite
14599,MySQL,
14599,SQLite,
14605,MySQL,DynamoDB
14605,,MariaDB
14605,,MongoDB
14605,,MySQL
14605,,PostgreSQL
14605,,Redis
14605,PostgreSQL,
14614,Firebase,MariaDB
14614,,Microsoft SQL Server
14614,,MySQL
14614,,Oracle
14614,,SQLite
14614,MongoDB,
14614,PostgreSQL,
14617,Couchbase,Microsoft SQL Server
14617,,Oracle
14617,,PostgreSQL
14617,,SQLite
14617,DynamoDB,
14617,Elasticsearch,
14617,Microsoft SQL Server,
14617,MongoDB,
14617,Oracle,
14617,PostgreSQL,
14625,MongoDB,MongoDB
14625,,MySQL
14625,,PostgreSQL
14625,,Redis
14625,PostgreSQL,
14625,Redis,
14628,MySQL,Microsoft SQL Server
14628,,MongoDB
14628,,MySQL
14628,,SQLite
14628,SQLite,
14648,Elasticsearch,MongoDB
14648,Firebase,
14648,MongoDB,
14652,Elasticsearch,Microsoft SQL Server
14666,Elasticsearch,Microsoft SQL Server
14666,,MySQL
14666,,Redis
14666,Firebase,
14666,MySQL,
14666,PostgreSQL,
14666,Redis,
14669,Elasticsearch,PostgreSQL
14669,PostgreSQL,
14669,Redis,
14672,MariaDB,Elasticsearch
14672,,MariaDB
14672,,MongoDB
14672,,MySQL
14672,,PostgreSQL
14672,,SQLite
14672,MySQL,
14672,PostgreSQL,
14672,SQLite,
14675,Elasticsearch,Elasticsearch
14675,,Microsoft SQL Server
14675,,MongoDB
14675,,Oracle
14675,,PostgreSQL
14675,MongoDB,
14675,PostgreSQL,
14688,Firebase,Firebase
14688,,MariaDB
14688,,MongoDB
14688,,MySQL
14688,,PostgreSQL
14688,MariaDB,
14688,MongoDB,
14688,MySQL,
14688,PostgreSQL,
14688,Redis,
14689,Microsoft SQL Server,Microsoft SQL Server
14689,,MongoDB
14689,,MySQL
14689,,Redis
14689,,SQLite
14689,Redis,
14689,SQLite,
14720,DynamoDB,DynamoDB
14720,,Elasticsearch
14720,,Firebase
14720,Elasticsearch,
14720,Firebase,
14735,Firebase,Firebase
14735,,MariaDB
14735,,MySQL
14735,MariaDB,
14735,MySQL,
14751,Microsoft SQL Server,Microsoft SQL Server
14751,,MySQL
14751,MongoDB,
14751,MySQL,
14754,Microsoft SQL Server,Microsoft SQL Server
14754,,MongoDB
14754,,MySQL
14754,,PostgreSQL
14754,,SQLite
14754,MongoDB,
14754,MySQL,
14754,PostgreSQL,
14754,SQLite,
14760,Cassandra,Cassandra
14760,,Elasticsearch
14760,,MariaDB
14760,,MySQL
14760,,Redis
14760,,SQLite
14760,Elasticsearch,
14760,MariaDB,
14760,MySQL,
14760,Redis,
14777,Elasticsearch,Firebase
14777,,MariaDB
14777,,Microsoft SQL Server
14777,,MySQL
14777,,SQLite
14777,MongoDB,
14777,PostgreSQL,
14810,Elasticsearch,Elasticsearch
14810,,MongoDB
14810,,PostgreSQL
14810,,Redis
14810,MongoDB,
14810,PostgreSQL,
14810,Redis,
14822,Cassandra,Firebase
14822,,MongoDB
14822,,MySQL
14822,,PostgreSQL
14822,,Redis
14822,MongoDB,
14822,MySQL,
14822,PostgreSQL,
14822,Redis,
14824,MySQL,MySQL
14824,,Redis
14824,,SQLite
14824,Redis,
14824,SQLite,
14832,Elasticsearch,Firebase
14832,,Microsoft SQL Server
14832,,MySQL
14832,MongoDB,
14832,MySQL,
14832,PostgreSQL,
14832,Redis,
14832,SQLite,
14856,SQLite,Microsoft SQL Server
14856,,MySQL
14856,,Oracle
14868,Elasticsearch,DynamoDB
14868,,Elasticsearch
14868,,Microsoft SQL Server
14887,Cassandra,Cassandra
14887,,Couchbase
14887,,DynamoDB
14887,,Elasticsearch
14887,,Firebase
14887,,MariaDB
14887,,Microsoft SQL Server
14887,,MongoDB
14887,,MySQL
14887,,Oracle
14887,,PostgreSQL
14887,,Redis
14887,,SQLite
14887,Couchbase,
14887,DynamoDB,
14887,Elasticsearch,
14887,MongoDB,
14887,MySQL,
14887,Oracle,
14887,PostgreSQL,
14887,Redis,
14891,DynamoDB,DynamoDB
14891,,Elasticsearch
14891,,MongoDB
14891,Elasticsearch,
14894,Elasticsearch,MongoDB
14894,,MySQL
14894,,PostgreSQL
14894,,SQLite
14894,MySQL,
14894,PostgreSQL,
14894,SQLite,
14896,Microsoft SQL Server,Microsoft SQL Server
14896,,MySQL
14896,MySQL,
14896,PostgreSQL,
14910,PostgreSQL,MySQL
14958,Firebase,Firebase
14958,,MariaDB
14958,,Microsoft SQL Server
14958,,MongoDB
14958,,MySQL
14958,,PostgreSQL
14958,,Redis
14958,MariaDB,
14958,MongoDB,
14958,MySQL,
14958,PostgreSQL,
14958,Redis,
14983,Microsoft SQL Server,Microsoft SQL Server
14987,DynamoDB,DynamoDB
14987,,Elasticsearch
14987,,Firebase
14987,,MariaDB
14987,,MongoDB
14987,,MySQL
14987,,PostgreSQL
14987,,SQLite
14987,Elasticsearch,
14987,Firebase,
14987,PostgreSQL,
14987,SQLite,
14988,PostgreSQL,PostgreSQL
14988,,Redis
14988,Redis,
14998,PostgreSQL,PostgreSQL
14998,,Redis
14998,,SQLite
14998,Redis,
14998,SQLite,
15021,MariaDB,MariaDB
15021,,MongoDB
15021,,MySQL
15021,MongoDB,
15021,Redis,
15024,Microsoft SQL Server,Microsoft SQL Server
15024,MySQL,
15024,PostgreSQL,
15024,SQLite,
15052,Microsoft SQL Server,Microsoft SQL Server
15063,Elasticsearch,Firebase
15063,,Microsoft SQL Server
15063,,MongoDB
15063,,MySQL
15063,,PostgreSQL
15063,,Redis
15063,,SQLite
15063,PostgreSQL,
15063,Redis,
15063,SQLite,
15066,MongoDB,MySQL
15066,MySQL,
15070,Firebase,Firebase
15070,,MongoDB
15070,,MySQL
15070,MongoDB,
15070,Redis,
15077,Firebase,Microsoft SQL Server
15077,,Oracle
15077,,SQLite
15077,Microsoft SQL Server,
15077,MongoDB,
15077,MySQL,
15077,SQLite,
15084,Elasticsearch,Firebase
15084,,Microsoft SQL Server
15084,,MongoDB
15084,,Redis
15084,,SQLite
15084,Firebase,
15084,Microsoft SQL Server,
15084,MongoDB,
15084,PostgreSQL,
15084,Redis,
15084,SQLite,
15096,Elasticsearch,Microsoft SQL Server
15096,,SQLite
15096,PostgreSQL,
15096,Redis,
15096,SQLite,
15099,Elasticsearch,Microsoft SQL Server
15099,,MySQL
15099,,SQLite
15099,Microsoft SQL Server,
15099,MongoDB,
15099,MySQL,
15099,PostgreSQL,
15099,Redis,
15100,MariaDB,MariaDB
15100,,MongoDB
15100,,MySQL
15100,,SQLite
15100,SQLite,
15107,MariaDB,MariaDB
15107,,Microsoft SQL Server
15107,,MySQL
15107,,PostgreSQL
15107,PostgreSQL,
15108,MongoDB,IBM DB2
15108,,MariaDB
15108,,Microsoft SQL Server
15108,,MySQL
15108,,Oracle
15108,,SQLite
15108,PostgreSQL,
15124,PostgreSQL,PostgreSQL
15136,MongoDB,Microsoft SQL Server
15136,,MongoDB
15136,,MySQL
15136,,PostgreSQL
15136,,Redis
15136,MySQL,
15136,PostgreSQL,
15136,Redis,
15160,Microsoft SQL Server,IBM DB2
15160,,Microsoft SQL Server
15160,,PostgreSQL
15160,MySQL,
15160,PostgreSQL,
15160,Redis,
15170,MongoDB,MariaDB
15170,,Microsoft SQL Server
15170,,MongoDB
15170,,MySQL
15170,MySQL,
15170,Redis,
15179,Microsoft SQL Server,Microsoft SQL Server
15179,,MongoDB
15179,MongoDB,
15179,MySQL,
15197,Firebase,MongoDB
15197,,MySQL
15197,,PostgreSQL
15197,MongoDB,
15197,MySQL,
15206,Microsoft SQL Server,Microsoft SQL Server
15206,,SQLite
15206,SQLite,
15208,Elasticsearch,MySQL
15208,,Redis
15208,Redis,
15213,Cassandra,Microsoft SQL Server
15213,,Redis
15213,Microsoft SQL Server,
15213,MongoDB,
