Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
471,SQLite,
479,PostgreSQL,Firebase
479,,PostgreSQL
487,Microsoft SQL Server,Couchbase
487,,Microsoft SQL Server
487,,SQLite
487,SQLite,
520,Microsoft SQL Server,Elasticsearch
520,,Microsoft SQL Server
530,PostgreSQL,DynamoDB
530,,PostgreSQL
532,DynamoDB,Elasticsearch
532,,Microsoft SQL Server
532,,Redis
532,Elasticsearch,
532,Microsoft SQL Server,
532,Redis,
534,Elasticsearch,Elasticsearch
534,,Microsoft SQL Server
534,,MongoDB
534,,Oracle
534,MongoDB,
534,PostgreSQL,
536,Microsoft SQL Server,Microsoft SQL Server
536,,MySQL
536,,PostgreSQL
536,PostgreSQL,
537,Couchbase,Couchbase
537,,Microsoft SQL Server
537,,MongoDB
537,,MySQL
537,,PostgreSQL
538,Elasticsearch,MongoDB
538,MongoDB,
538,Redis,
542,PostgreSQL,Oracle
542,,PostgreSQL
542,,Redis
542,Redis,
544,DynamoDB,DynamoDB
544,,Firebase
544,,MariaDB
544,,Microsoft SQL Server
544,,MySQL
544,,Redis
544,MySQL,
544,Redis,
557,Elasticsearch,Elasticsearch
557,,MySQL
557,,PostgreSQL
557,,Redis
557,Redis,
559,Elasticsearch,Elasticsearch
559,,MongoDB
559,,MySQL
559,,Redis
559,MongoDB,
559,MySQL,
559,Redis,
560,DynamoDB,Microsoft SQL Server
560,,MongoDB
560,Microsoft SQL Server,
560,MongoDB,
562,MongoDB,Firebase
562,,Microsoft SQL Server
562,,MySQL
571,Microsoft SQL Server,Firebase
571,,Microsoft SQL Server
571,,MongoDB
571,,MySQL
571,,SQLite
571,PostgreSQL,
576,DynamoDB,DynamoDB
576,,Elasticsearch
576,,MongoDB
576,,MySQL
576,Elasticsearch,
584,Microsoft SQL Server,Microsoft SQL Server
584,,Redis
584,Redis,
590,Microsoft SQL Server,Microsoft SQL Server
593,Microsoft SQL Server,Microsoft SQL Server
595,DynamoDB,Oracle
595,,PostgreSQL
595,Elasticsearch,
595,PostgreSQL,
595,Redis,
624,Firebase,Firebase
624,,MongoDB
624,,MySQL
624,MongoDB,
624,MySQL,
641,DynamoDB,Firebase
641,Firebase,
641,MongoDB,
678,DynamoDB,DynamoDB
678,,Elasticsearch
678,,MariaDB
678,,Microsoft SQL Server
678,,MySQL
678,,PostgreSQL
678,,Redis
678,Elasticsearch,
678,PostgreSQL,
678,Redis,
687,Cassandra,MongoDB
687,,PostgreSQL
687,,SQLite
687,PostgreSQL,
687,SQLite,
696,Oracle,Firebase
696,,MariaDB
696,,Microsoft SQL Server
696,,MySQL
696,,SQLite
696,PostgreSQL,
697,MongoDB,MongoDB
710,Microsoft SQL Server,Microsoft SQL Server
710,,PostgreSQL
710,PostgreSQL,
713,Firebase,Microsoft SQL Server
713,,MongoDB
713,,MySQL
713,,SQLite
713,Microsoft SQL Server,
713,MongoDB,
713,MySQL,
713,SQLite,
718,Couchbase,DynamoDB
718,,Elasticsearch
718,,MongoDB
718,,PostgreSQL
718,,Redis
718,DynamoDB,
718,Elasticsearch,
718,Firebase,
718,MongoDB,
718,PostgreSQL,
718,Redis,
726,PostgreSQL,PostgreSQL
750,Microsoft SQL Server,Microsoft SQL Server
759,Microsoft SQL Server,Microsoft SQL Server
759,,MongoDB
759,,MySQL
761,PostgreSQL,PostgreSQL
779,DynamoDB,DynamoDB
779,,Microsoft SQL Server
779,,MongoDB
779,,MySQL
779,,PostgreSQL
779,Microsoft SQL Server,
779,MongoDB,
815,MariaDB,MariaDB
815,,SQLite
815,SQLite,
816,PostgreSQL,PostgreSQL
816,Redis,
823,Microsoft SQL Server,Microsoft SQL Server
823,,Redis
823,,SQLite
823,Redis,
823,SQLite,
827,Microsoft SQL Server,Microsoft SQL Server
827,,MySQL
827,,PostgreSQL
827,,SQLite
827,PostgreSQL,
827,SQLite,
837,DynamoDB,DynamoDB
837,,Microsoft SQL Server
837,,MongoDB
837,,MySQL
837,,PostgreSQL
837,,Redis
837,MongoDB,
837,MySQL,
837,PostgreSQL,
837,Redis,
841,MySQL,Couchbase
841,,Firebase
841,,MySQL
841,,PostgreSQL
841,,Redis
841,,SQLite
841,SQLite,
842,Microsoft SQL Server,Microsoft SQL Server
842,,MySQL
842,MySQL,
858,Firebase,Microsoft SQL Server
858,,SQLite
858,Microsoft SQL Server,
858,MongoDB,
858,Redis,
878,Microsoft SQL Server,Firebase
878,,Microsoft SQL Server
878,,MongoDB
878,,MySQL
878,,PostgreSQL
878,,Redis
878,MongoDB,
878,MySQL,
878,PostgreSQL,
878,Redis,
887,Elasticsearch,Elasticsearch
887,,Firebase
887,,MySQL
887,,PostgreSQL
887,,Redis
887,Firebase,
887,PostgreSQL,
887,Redis,
894,MongoDB,MongoDB
894,,PostgreSQL
894,,Redis
895,Microsoft SQL Server,Microsoft SQL Server
895,,MySQL
895,,Oracle
895,,SQLite
895,MySQL,
895,SQLite,
905,Elasticsearch,MariaDB
905,,MongoDB
905,,MySQL
905,Firebase,
905,MongoDB,
905,MySQL,
905,PostgreSQL,
905,Redis,
908,Elasticsearch,DynamoDB
908,,Firebase
908,,MariaDB
908,,MySQL
908,,Redis
908,PostgreSQL,
912,DynamoDB,DynamoDB
912,,Elasticsearch
912,,MariaDB
912,,Microsoft SQL Server
912,,MongoDB
912,,MySQL
912,,PostgreSQL
912,,Redis
912,,SQLite
912,MariaDB,
912,MySQL,
912,PostgreSQL,
912,Redis,
913,Elasticsearch,MariaDB
913,,MySQL
913,MariaDB,
913,MongoDB,
913,MySQL,
921,DynamoDB,Firebase
921,,Microsoft SQL Server
921,,MongoDB
921,,MySQL
921,,PostgreSQL
921,,SQLite
921,Elasticsearch,
921,Firebase,
921,MongoDB,
921,PostgreSQL,
921,Redis,
921,SQLite,
923,PostgreSQL,DynamoDB
923,,MySQL
923,,PostgreSQL
931,MySQL,MongoDB
931,,MySQL
939,Couchbase,IBM DB2
939,,Microsoft SQL Server
939,Elasticsearch,
939,IBM DB2,
939,MongoDB,
939,Redis,
950,Microsoft SQL Server,Microsoft SQL Server
950,,SQLite
952,Elasticsearch,DynamoDB
952,,Elasticsearch
952,,MySQL
952,,PostgreSQL
952,,Redis
952,MySQL,
952,PostgreSQL,
952,Redis,
965,Microsoft SQL Server,Microsoft SQL Server
980,MySQL,MongoDB
980,,MySQL
980,,PostgreSQL
980,,Redis
980,PostgreSQL,
986,MongoDB,MongoDB
986,,MySQL
986,,PostgreSQL
986,MySQL,
986,PostgreSQL,
1013,Cassandra,Cassandra
1013,,DynamoDB
1013,,Elasticsearch
1013,,MariaDB
1013,,MongoDB
1013,,MySQL
1013,,Oracle
1013,,PostgreSQL
1013,,Redis
1013,,SQLite
1013,DynamoDB,
1013,Elasticsearch,
1013,MariaDB,
1013,MongoDB,
