,Respondent,PlatformDesireNextYear,PlatformWorkedWith
779,256,Docker,Android
780,256,,Docker
781,256,,Linux
782,256,Google Cloud Platform,
785,256,Linux,
788,256,Slack Apps and Integrations,
791,262,Arduino,Docker
792,262,,Google Cloud Platform
793,262,,Kubernetes
794,262,,Linux
795,262,,MacOS
796,262,AWS,
801,262,Docker,
806,262,Google Cloud Platform,
811,262,Kubernetes,
816,262,Linux,
821,262,MacOS,
826,262,Raspberry Pi,
831,269,AWS,Windows
832,269,Docker,
833,269,Google Cloud Platform,
834,269,Kubernetes,
835,269,Linux,
836,269,Microsoft Azure,
837,284,AWS,AWS
838,284,,Docker
839,284,,Linux
840,284,,Raspberry Pi
841,284,Docker,
845,284,Google Cloud Platform,
849,284,Kubernetes,
853,284,Linux,
857,287,Linux,Android
858,287,,Linux
859,287,,Microsoft Azure
860,287,,Windows
861,303,Android,AWS
862,303,,Linux
863,303,,Windows
864,303,AWS,
867,303,Docker,
870,303,Google Cloud Platform,
873,303,Kubernetes,
876,303,Linux,
879,303,Raspberry Pi,
882,303,Windows,
885,307,AWS,AWS
886,307,,Docker
887,307,,Google Cloud Platform
888,307,,Linux
889,307,,Windows
890,307,Docker,
895,307,Google Cloud Platform,
900,307,Linux,
905,307,Windows,
910,310,Android,Android
911,310,,Linux
912,310,,Microsoft Azure
913,310,,Raspberry Pi
914,310,,Windows
915,310,Docker,
920,310,Heroku,
925,310,IBM Cloud or Watson,
930,310,iOS,
935,310,Kubernetes,
940,310,Linux,
945,310,MacOS,
950,310,Microsoft Azure,
955,310,Raspberry Pi,
960,310,Windows,
965,329,Android,Android
966,329,,Microsoft Azure
967,329,,Windows
968,329,Arduino,
971,331,Android,Android
972,331,,Docker
973,331,,Kubernetes
974,331,,Linux
975,331,,Microsoft Azure
976,331,,Windows
977,331,,WordPress
978,331,Arduino,
985,331,AWS,
992,331,Docker,
999,331,Kubernetes,
1006,331,Linux,
1013,331,Microsoft Azure,
1020,331,Raspberry Pi,
1027,331,Windows,
1034,363,Docker,Docker
1035,363,,Kubernetes
1036,363,,Linux
1037,363,,Microsoft Azure
1038,363,,Windows
1039,363,Kubernetes,
1044,363,Microsoft Azure,
1049,369,Android,Windows
1050,369,Docker,
1051,369,Linux,
1052,369,Raspberry Pi,
1053,369,Windows,
1054,369,WordPress,
1055,373,AWS,AWS
1056,373,,Docker
1057,373,,Microsoft Azure
1058,373,,Windows
1059,373,Docker,
1063,373,Linux,
1067,373,Microsoft Azure,
1071,373,Windows,
1075,401,Android,AWS
1076,401,,Android
1077,401,,Docker
1078,401,,Linux
1079,401,,MacOS
1080,401,,Slack Apps and Integrations
1081,401,,iOS
1082,401,AWS,
1089,401,Docker,
1096,401,Linux,
1103,402,Android,Android
1104,402,,Arduino
1105,402,,Docker
1106,402,,Google Cloud Platform
1107,402,,Linux
1108,402,,MacOS
1109,402,,Microsoft Azure
1110,402,,Raspberry Pi
1111,402,,Slack Apps and Integrations
1112,402,,Windows
1113,402,,WordPress
1114,402,,iOS
1115,402,Arduino,
1127,402,Docker,
1139,402,Linux,
1151,402,Raspberry Pi,
1163,402,Slack Apps and Integrations,
1175,402,Windows,
1187,412,Docker,Android
1188,412,,Linux
1189,412,,Windows
1190,412,Linux,
1193,412,Windows,
1196,413,AWS,Docker
1197,413,,Microsoft Azure
1198,413,Docker,
1200,413,Heroku,
1202,413,Kubernetes,
1204,413,Microsoft Azure,
1206,429,Linux,Linux
1207,429,,Windows
1208,429,Microsoft Azure,
1210,429,Windows,
1212,433,Google Cloud Platform,AWS
1213,433,,Android
1214,433,,Arduino
1215,433,,Docker
1216,433,,Linux
1217,433,,MacOS
1218,433,,Windows
1219,433,,WordPress
1220,433,,iOS
1221,433,Heroku,
1230,433,IBM Cloud or Watson,
1239,433,Kubernetes,
1248,433,Microsoft Azure,
1257,433,Slack Apps and Integrations,
1266,444,AWS,Docker
1267,444,,Google Cloud Platform
1268,444,,Heroku
1269,444,,Kubernetes
1270,444,,Linux
1271,444,Docker,
1276,444,Google Cloud Platform,
1281,444,Kubernetes,
1286,444,Linux,
1291,444,Microsoft Azure,
1296,448,Android,Linux
1297,448,Linux,
1298,456,AWS,AWS
1299,456,,Docker
1300,456,,Linux
1301,456,,Windows
1302,456,Docker,
1306,456,Linux,
1310,456,Windows,
1314,461,AWS,AWS
1315,461,,Docker
1316,461,,Linux
1317,461,,Slack Apps and Integrations
1318,461,Docker,
1322,461,Linux,
1326,463,AWS,AWS
1327,463,,Linux
1328,463,,WordPress
1329,463,Linux,
1332,463,Raspberry Pi,
1335,471,Android,Android
1336,471,,Docker
1337,471,,Kubernetes
1338,471,,Microsoft Azure
1339,471,,Raspberry Pi
1340,471,,Slack Apps and Integrations
1341,471,Docker,
1347,471,Kubernetes,
1353,471,Linux,
1359,471,Microsoft Azure,
1365,471,Raspberry Pi,
1371,471,Slack Apps and Integrations,
1377,479,AWS,AWS
1378,479,,Docker
1379,479,,Heroku
1380,479,,Kubernetes
1381,479,Heroku,
1385,479,iOS,
1389,487,AWS,AWS
1390,487,,Windows
1391,487,Linux,
1393,487,Slack Apps and Integrations,
1395,487,Windows,
1397,520,Microsoft Azure,Microsoft Azure
1398,520,,Windows
1399,520,Windows,
1401,530,AWS,AWS
1402,530,,Docker
1403,530,,Linux
1404,530,,MacOS
1405,530,Linux,
1409,530,MacOS,
1413,532,AWS,AWS
1414,532,,Docker
1415,532,,Linux
1416,532,,Windows
1417,532,Docker,
1421,532,Linux,
1425,532,Windows,
1429,534,AWS,AWS
1430,534,,Docker
1431,534,,Linux
1432,534,,MacOS
1433,534,Docker,
1437,534,Linux,
1441,534,Raspberry Pi,
1445,536,AWS,Linux
1446,536,,Windows
1447,536,Kubernetes,
1449,536,Linux,
1451,536,Windows,
1453,537,Docker,Docker
1454,537,,Kubernetes
1455,537,,Microsoft Azure
1456,537,,Windows
1457,537,Microsoft Azure,
1461,537,Windows,
1465,538,AWS,AWS
1466,538,,Docker
1467,538,,Kubernetes
1468,538,,MacOS
1469,538,Docker,
1473,538,Kubernetes,
1477,538,MacOS,
1481,542,Docker,Docker
1482,542,,Kubernetes
1483,542,,Linux
1484,542,,Raspberry Pi
1485,542,,Windows
1486,542,Kubernetes,
1491,542,Linux,
1496,542,Raspberry Pi,
1501,544,AWS,AWS
1502,544,,Docker
1503,544,,Linux
1504,544,,Windows
1505,544,Docker,
1509,544,Linux,
1513,544,Windows,
1517,557,AWS,Docker
1518,557,,Heroku
1519,557,Docker,
1521,557,Kubernetes,
1523,559,Docker,Docker
1524,559,,Linux
1525,559,,MacOS
1526,559,Linux,
1529,559,MacOS,
1532,560,Docker,Docker
1533,562,Arduino,Microsoft Azure
1534,562,,Windows
1535,562,AWS,
1537,562,Google Cloud Platform,
1539,562,iOS,
1541,562,Linux,
1543,562,MacOS,
1545,571,Android,Android
1546,571,,Docker
1547,571,,Heroku
1548,571,,Linux
1549,571,,Microsoft Azure
1550,571,,Windows
1551,571,Docker,
1557,571,Linux,
1563,571,Microsoft Azure,
1569,571,Windows,
1575,576,AWS,AWS
1576,576,,Docker
1577,576,,WordPress
1578,576,Docker,
1581,584,AWS,AWS
1582,584,,Slack Apps and Integrations
1583,584,,Windows
1584,584,Windows,
1587,590,Android,Android
1588,590,,MacOS
1589,590,,Windows
1590,590,,iOS
1591,590,Microsoft Azure,
1595,590,Windows,
