,Respondent,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith
0,10,Github,Github
1,10,,Microsoft Teams
2,10,Microsoft Teams,
4,33,Github,Confluence
5,33,,Github
6,33,,Gitlab
7,33,,"Google Suite (Docs, Meet, etc)"
8,33,,Jira
9,33,,Slack
10,33,,Stack Overflow for Teams
11,33,Slack,
18,33,"Google Suite (Docs, Meet, etc)",
25,33,Stack Overflow for Teams,
32,42,Confluence,Confluence
33,42,,Github
34,42,,Gitlab
35,42,,"Google Suite (Docs, Meet, etc)"
36,42,,Jira
37,42,,Slack
38,42,,Trello
39,42,Jira,
46,42,Gitlab,
53,47,Github,Confluence
54,47,,Github
55,47,,Gitlab
56,47,,"Google Suite (Docs, Meet, etc)"
57,47,,Jira
58,47,,Microsoft Azure
59,47,Gitlab,
65,69,Github,Confluence
66,69,,Github
67,69,,"Google Suite (Docs, Meet, etc)"
68,69,,Jira
69,69,,Slack
70,69,Slack,
75,69,"Google Suite (Docs, Meet, etc)",
80,80,Confluence,Confluence
81,80,,Github
82,80,,Gitlab
83,80,,Microsoft Azure
84,80,Github,
88,80,Gitlab,
92,80,Microsoft Teams,
96,80,Microsoft Azure,
100,96,Github,Github
101,96,,Slack
102,96,Slack,
104,119,Github,Confluence
105,119,,Github
106,119,,Gitlab
107,119,,"Google Suite (Docs, Meet, etc)"
108,119,,Jira
109,119,,Microsoft Azure
110,119,,Trello
111,119,Microsoft Azure,
118,123,Confluence,Confluence
119,123,,Github
120,123,,Gitlab
121,123,,"Google Suite (Docs, Meet, etc)"
122,123,,Jira
123,123,,Microsoft Teams
124,123,,Slack
125,123,Jira,
132,123,Github,
139,123,Slack,
146,128,Slack,"Google Suite (Docs, Meet, etc)"
147,128,,Microsoft Azure
148,128,,Slack
149,128,"Google Suite (Docs, Meet, etc)",
152,131,Github,Confluence
153,131,,Github
154,131,,Jira
155,131,,Slack
156,131,Slack,
160,151,Github,Github
161,151,,Gitlab
162,151,,"Google Suite (Docs, Meet, etc)"
163,151,,Jira
164,151,,Trello
165,151,Gitlab,
170,151,Slack,
175,151,Trello,
180,151,"Google Suite (Docs, Meet, etc)",
185,158,Jira,Github
186,158,,Gitlab
187,158,,"Google Suite (Docs, Meet, etc)"
188,158,,Jira
189,158,,Microsoft Azure
190,158,,Slack
191,158,Github,
197,158,Slack,
203,158,Microsoft Azure,
209,158,"Google Suite (Docs, Meet, etc)",
215,161,Jira,Github
216,161,,Gitlab
217,161,,"Google Suite (Docs, Meet, etc)"
218,161,,Jira
219,161,,Slack
220,161,Github,
225,161,Gitlab,
230,161,Slack,
235,161,"Google Suite (Docs, Meet, etc)",
240,167,Jira,Github
241,167,,Gitlab
242,167,,Jira
243,167,,Microsoft Teams
244,167,Gitlab,
248,167,Microsoft Teams,
252,167,Stack Overflow for Teams,
256,170,Jira,Facebook Workplace
257,170,,Github
258,170,,Gitlab
259,170,Github,
262,170,Gitlab,
265,170,Microsoft Azure,
268,179,Github,Confluence
269,179,,Github
270,179,,Gitlab
271,179,,Jira
272,179,,Microsoft Azure
273,179,,Microsoft Teams
274,179,,Slack
275,179,Slack,
282,187,Confluence,Confluence
283,187,,Github
284,187,,Jira
285,187,,Microsoft Teams
286,187,Jira,
290,187,Github,
294,187,Microsoft Teams,
298,195,Github,Github
299,195,,Gitlab
300,195,,"Google Suite (Docs, Meet, etc)"
301,195,,Microsoft Teams
302,195,,Slack
303,195,Gitlab,
308,195,Slack,
313,195,Microsoft Teams,
318,200,Github,Github
319,200,,"Google Suite (Docs, Meet, etc)"
320,200,,Slack
321,200,,Trello
322,200,Microsoft Teams,
326,200,Trello,
330,200,"Google Suite (Docs, Meet, etc)",
334,200,Stack Overflow for Teams,
338,205,Github,Github
339,205,,Microsoft Azure
340,205,,Microsoft Teams
341,205,,Slack
342,205,Slack,
346,205,Microsoft Teams,
350,205,Microsoft Azure,
354,207,Github,Github
355,207,,"Google Suite (Docs, Meet, etc)"
356,207,,Jira
357,207,,Slack
358,207,,Trello
359,207,Slack,
364,214,Github,Github
365,214,,"Google Suite (Docs, Meet, etc)"
366,214,,Microsoft Azure
367,214,,Microsoft Teams
368,214,,Slack
369,214,,Trello
370,214,Slack,
376,214,Microsoft Teams,
382,214,Trello,
388,214,"Google Suite (Docs, Meet, etc)",
394,215,Github,Confluence
395,215,,Github
396,215,,"Google Suite (Docs, Meet, etc)"
397,215,,Jira
398,215,,Slack
399,215,Slack,
404,216,Gitlab,Confluence
405,216,,Gitlab
406,216,,Jira
407,216,,Trello
408,216,Slack,
412,216,Trello,
416,216,"Google Suite (Docs, Meet, etc)",
420,216,Stack Overflow for Teams,
424,233,Slack,"Google Suite (Docs, Meet, etc)"
425,233,,Microsoft Azure
426,233,,Microsoft Teams
427,233,,Slack
428,233,,Trello
429,233,Microsoft Teams,
434,233,Microsoft Azure,
439,233,Trello,
444,233,"Google Suite (Docs, Meet, etc)",
449,242,Github,Confluence
450,242,,Facebook Workplace
451,242,,Github
452,242,,"Google Suite (Docs, Meet, etc)"
453,242,,Jira
454,242,,Microsoft Azure
455,242,,Slack
456,242,,Stack Overflow for Teams
457,242,Slack,
465,242,"Google Suite (Docs, Meet, etc)",
473,255,Confluence,Confluence
474,255,,Github
475,255,,Gitlab
476,255,,"Google Suite (Docs, Meet, etc)"
477,255,,Jira
478,255,,Microsoft Azure
479,255,,Trello
480,255,Jira,
487,255,Github,
494,255,Gitlab,
501,255,Microsoft Teams,
508,255,Microsoft Azure,
515,255,"Google Suite (Docs, Meet, etc)",
522,256,Confluence,Github
523,256,,"Google Suite (Docs, Meet, etc)"
524,256,,Slack
525,256,,Stack Overflow for Teams
526,256,,Trello
527,256,Jira,
532,256,Github,
537,256,Gitlab,
542,256,Slack,
547,256,"Google Suite (Docs, Meet, etc)",
552,256,Stack Overflow for Teams,
557,262,Github,Github
558,262,,Slack
559,262,Slack,
561,269,Github,Gitlab
562,269,,Jira
563,269,,Slack
564,269,Gitlab,
567,269,Slack,
570,269,Microsoft Azure,
573,284,Confluence,Confluence
574,284,,Github
575,284,,Jira
576,284,,Slack
577,284,Jira,
581,284,Github,
585,284,Slack,
589,284,Microsoft Azure,
593,284,Stack Overflow for Teams,
597,287,Github,Confluence
598,287,,Github
599,287,,"Google Suite (Docs, Meet, etc)"
600,287,,Jira
601,287,,Microsoft Azure
602,287,,Microsoft Teams
603,287,"Google Suite (Docs, Meet, etc)",
609,303,Github,Github
610,303,,"Google Suite (Docs, Meet, etc)"
611,303,,Slack
612,303,Slack,
615,303,Microsoft Teams,
618,303,"Google Suite (Docs, Meet, etc)",
621,303,Stack Overflow for Teams,
624,307,Github,Github
625,310,Confluence,Github
626,310,,Microsoft Azure
627,310,,Slack
628,310,Jira,
631,310,Github,
634,310,Slack,
637,310,Microsoft Azure,
640,329,Jira,Github
641,329,,"Google Suite (Docs, Meet, etc)"
642,329,,Microsoft Teams
643,329,Github,
646,331,Github,Github
647,331,,"Google Suite (Docs, Meet, etc)"
648,331,,Microsoft Azure
649,331,,Microsoft Teams
650,331,,Slack
651,331,Slack,
656,331,Microsoft Teams,
661,331,Microsoft Azure,
666,331,"Google Suite (Docs, Meet, etc)",
671,363,Github,Github
672,363,,"Google Suite (Docs, Meet, etc)"
673,363,,Jira
674,363,,Microsoft Azure
675,363,,Microsoft Teams
676,363,,Slack
677,363,,Stack Overflow for Teams
678,363,,Trello
679,363,Slack,
687,363,Trello,
695,363,"Google Suite (Docs, Meet, etc)",
703,363,Stack Overflow for Teams,
711,369,Github,"Google Suite (Docs, Meet, etc)"
712,369,,Microsoft Teams
713,369,Microsoft Teams,
715,373,Github,Confluence
716,373,,Github
717,373,,Jira
718,373,,Microsoft Azure
719,373,,Microsoft Teams
720,373,,Slack
721,373,Slack,
727,373,Microsoft Teams,
733,373,Microsoft Azure,
739,401,Github,Confluence
740,401,,Github
741,401,,Gitlab
742,401,,"Google Suite (Docs, Meet, etc)"
743,401,,Jira
744,401,,Slack
745,401,,Stack Overflow for Teams
746,401,,Trello
747,401,Gitlab,
755,401,Slack,
763,401,Trello,
771,401,"Google Suite (Docs, Meet, etc)",
779,402,Confluence,Confluence
780,402,,Github
781,402,,"Google Suite (Docs, Meet, etc)"
782,402,,Jira
783,402,,Slack
784,402,,Stack Overflow for Teams
785,402,,Trello
786,402,Jira,
793,402,Slack,
800,402,"Google Suite (Docs, Meet, etc)",
807,412,Jira,Confluence
808,412,,Github
809,412,,Jira
810,412,Github,
813,412,Gitlab,
816,413,Jira,Github
817,413,,"Google Suite (Docs, Meet, etc)"
818,413,,Jira
819,413,,Microsoft Azure
820,413,,Slack
821,413,Github,
826,413,Gitlab,
831,413,Slack,
836,413,Microsoft Azure,
841,413,"Google Suite (Docs, Meet, etc)",
846,429,Github,Microsoft Azure
847,429,,Microsoft Teams
848,429,Microsoft Azure,
850,433,Microsoft Azure,Facebook Workplace
851,433,,Github
852,433,,Gitlab
853,433,,"Google Suite (Docs, Meet, etc)"
854,433,,Jira
855,433,,Microsoft Teams
856,433,,Slack
857,433,,Trello
858,433,Stack Overflow for Teams,
866,444,Github,Github
867,444,,"Google Suite (Docs, Meet, etc)"
868,444,,Slack
869,444,,Trello
870,444,Gitlab,
874,444,Slack,
878,444,Microsoft Teams,
882,448,Confluence,Confluence
883,448,,Github
884,448,,Slack
885,448,Github,
888,448,Slack,
891,456,Confluence,Confluence
892,456,,Github
893,456,,Jira
894,456,,Microsoft Teams
895,456,,Slack
896,456,Jira,
901,456,Github,
906,456,Microsoft Teams,
911,461,Github,Github
912,461,,Slack
913,461,Slack,
915,463,Github,Github
916,463,,"Google Suite (Docs, Meet, etc)"
917,463,,Microsoft Teams
918,463,,Slack
919,463,Slack,
923,463,Microsoft Teams,
927,463,"Google Suite (Docs, Meet, etc)",
931,471,Github,Github
932,471,,"Google Suite (Docs, Meet, etc)"
933,471,,Microsoft Azure
934,471,,Slack
935,471,,Trello
936,471,Slack,
941,471,Microsoft Azure,
946,471,Trello,
951,471,"Google Suite (Docs, Meet, etc)",
956,479,Github,Confluence
957,479,,Github
958,479,,Gitlab
959,479,,"Google Suite (Docs, Meet, etc)"
960,479,,Jira
961,479,,Slack
962,479,,Trello
963,479,Slack,
970,487,Github,Confluence
971,487,,Github
972,487,,Jira
973,487,,Microsoft Teams
974,487,Slack,
978,520,Jira,Github
979,520,,Gitlab
980,520,,Jira
981,520,,Microsoft Azure
982,520,,Trello
983,520,Microsoft Azure,
988,530,Confluence,Confluence
989,530,,Github
990,530,,"Google Suite (Docs, Meet, etc)"
991,530,,Jira
992,530,,Slack
993,530,Jira,
998,530,Github,
1003,530,Gitlab,
1008,532,Github,Github
1009,532,,"Google Suite (Docs, Meet, etc)"
1010,532,,Microsoft Azure
1011,532,,Slack
1012,532,Slack,
1016,532,Microsoft Azure,
1020,532,"Google Suite (Docs, Meet, etc)",
1024,534,Github,Confluence
1025,534,,Github
1026,534,,Gitlab
1027,534,,Jira
1028,534,,Slack
1029,534,Gitlab,
1034,536,Confluence,Confluence
1035,536,,Github
1036,536,,Jira
1037,536,,Slack
1038,536,Jira,
1042,536,Github,
1046,536,Slack,
1050,536,Microsoft Teams,
1054,536,Microsoft Azure,
1058,537,Github,Confluence
1059,537,,Github
1060,537,,Jira
1061,537,,Slack
1062,537,,Trello
1063,538,Jira,Github
1064,538,,Jira
1065,538,,Slack
1066,538,Github,
1069,538,Slack,
1072,542,Github,Github
1073,542,,Jira
1074,542,,Microsoft Teams
1075,542,,Slack
1076,542,Gitlab,
1080,544,Confluence,Confluence
1081,544,,Github
1082,544,,Gitlab
1083,544,,"Google Suite (Docs, Meet, etc)"
1084,544,,Jira
1085,544,Jira,
1090,544,Github,
1095,544,Gitlab,
1100,544,"Google Suite (Docs, Meet, etc)",
1105,557,Github,Confluence
1106,557,,Github
1107,557,,Jira
1108,557,,Slack
1109,557,,Trello
1110,559,Confluence,Confluence
1111,559,,Github
1112,559,,Jira
1113,559,,Slack
1114,559,Jira,
1118,559,Github,
1122,559,Slack,
1126,560,Microsoft Azure,Microsoft Azure
1127,562,Slack,Github
1128,562,,Jira
1129,562,,Microsoft Azure
1130,562,,Microsoft Teams
1131,571,Confluence,Confluence
1132,571,,Github
1133,571,,Gitlab
1134,571,,"Google Suite (Docs, Meet, etc)"
1135,571,,Jira
1136,571,,Microsoft Azure
1137,571,,Microsoft Teams
1138,571,,Slack
1139,571,,Trello
1140,571,Jira,
1149,571,Github,
1158,571,Slack,
1167,571,Microsoft Teams,
1176,571,Microsoft Azure,
1185,571,"Google Suite (Docs, Meet, etc)",
1194,576,Github,Github
1195,576,,Jira
1196,576,,Slack
1197,584,Confluence,Confluence
1198,584,,Github
1199,584,,"Google Suite (Docs, Meet, etc)"
1200,584,,Jira
1201,584,,Slack
1202,584,Jira,
1207,584,Github,
1212,584,Slack,
1217,584,"Google Suite (Docs, Meet, etc)",
1222,590,Confluence,Confluence
1223,590,,Github
1224,590,,"Google Suite (Docs, Meet, etc)"
1225,590,,Jira
1226,590,Jira,
1230,590,Github,
1234,593,Microsoft Teams,Microsoft Azure
1235,593,,Microsoft Teams
1236,593,Microsoft Azure,
1238,595,Github,Github
1239,595,,Gitlab
1240,595,,Slack
1241,595,Slack,
1244,595,"Google Suite (Docs, Meet, etc)",
1247,624,Jira,Github
1248,624,,Jira
1249,624,,Stack Overflow for Teams
1250,624,Github,
1253,624,Stack Overflow for Teams,
1256,641,Jira,Github
1257,641,,"Google Suite (Docs, Meet, etc)"
1258,641,,Slack
1259,641,,Trello
1260,641,Github,
1264,641,Slack,
1268,641,Trello,
1272,641,"Google Suite (Docs, Meet, etc)",
1276,678,Confluence,Confluence
1277,678,,Github
1278,678,,Jira
1279,678,,Slack
1280,678,Jira,
1284,678,Github,
1288,687,Github,Github
1289,687,,"Google Suite (Docs, Meet, etc)"
1290,687,,Slack
1291,687,,Trello
1292,687,Gitlab,
1296,687,Slack,
1300,687,Trello,
1304,687,"Google Suite (Docs, Meet, etc)",
1308,687,Stack Overflow for Teams,
1312,696,Github,"Google Suite (Docs, Meet, etc)"
1313,696,,Microsoft Teams
1314,696,,Slack
1315,697,Github,Github
1316,697,,Slack
1317,697,,Trello
1318,697,Slack,
1321,710,Confluence,Confluence
1322,710,,Github
1323,710,,"Google Suite (Docs, Meet, etc)"
1324,710,,Jira
1325,710,,Slack
1326,710,Jira,
1331,710,Github,
1336,710,Slack,
1341,710,"Google Suite (Docs, Meet, etc)",
1346,713,Jira,Github
1347,713,,"Google Suite (Docs, Meet, etc)"
1348,713,,Microsoft Azure
1349,713,,Microsoft Teams
1350,713,,Slack
1351,713,Github,
1356,713,Slack,
1361,713,Microsoft Teams,
1366,713,Microsoft Azure,
1371,713,Trello,
1376,713,"Google Suite (Docs, Meet, etc)",
1381,713,Stack Overflow for Teams,
1386,718,Confluence,Confluence
1387,718,,Github
1388,718,,Gitlab
1389,718,,Jira
1390,718,,Slack
1391,718,Jira,
1396,718,Github,
1401,718,Slack,
1406,726,Confluence,Confluence
1407,726,,Github
1408,726,,"Google Suite (Docs, Meet, etc)"
1409,726,,Jira
1410,726,,Slack
1411,726,,Trello
1412,726,Jira,
1418,726,Github,
1424,726,Slack,
1430,726,"Google Suite (Docs, Meet, etc)",
1436,750,Microsoft Teams,Github
1437,750,,Microsoft Azure
1438,750,,Microsoft Teams
1439,750,Microsoft Azure,
1442,759,Github,Github
1443,759,,Microsoft Azure
1444,759,Microsoft Azure,
1446,761,"Google Suite (Docs, Meet, etc)",Github
1447,761,,"Google Suite (Docs, Meet, etc)"
1448,779,Confluence,Confluence
1449,779,,Github
1450,779,,Gitlab
1451,779,,"Google Suite (Docs, Meet, etc)"
1452,779,,Jira
1453,779,,Slack
1454,779,,Trello
1455,779,Jira,
1462,779,Github,
1469,779,Slack,
1476,815,Confluence,Confluence
1477,815,,Github
1478,815,,"Google Suite (Docs, Meet, etc)"
1479,815,,Jira
1480,815,,Slack
1481,815,,Trello
1482,815,Jira,
1488,815,Github,
1494,815,Slack,
1500,815,"Google Suite (Docs, Meet, etc)",
1506,816,Jira,Github
1507,816,,"Google Suite (Docs, Meet, etc)"
1508,816,,Jira
1509,816,,Slack
1510,816,Github,
1514,816,Slack,
1518,823,Github,Github
1519,823,,Microsoft Azure
1520,823,,Microsoft Teams
1521,823,,Trello
1522,823,Microsoft Teams,
1526,823,Microsoft Azure,
1530,823,Trello,
1534,827,Github,Github
1535,827,,"Google Suite (Docs, Meet, etc)"
1536,827,,Microsoft Azure
1537,827,,Microsoft Teams
1538,827,,Slack
1539,827,,Trello
1540,827,Slack,
1546,827,Microsoft Azure,
1552,827,Trello,
1558,827,"Google Suite (Docs, Meet, etc)",
1564,837,Github,Confluence
1565,837,,Github
1566,837,,Gitlab
1567,837,,"Google Suite (Docs, Meet, etc)"
1568,837,,Jira
1569,837,,Microsoft Teams
1570,837,,Slack
1571,837,Gitlab,
1578,837,Slack,
1585,841,Github,Github
1586,841,,Slack
1587,841,,Trello
1588,841,Slack,
1591,842,Github,Github
1592,842,,Gitlab
1593,842,Slack,
1595,842,Microsoft Teams,
1597,858,Jira,Github
1598,858,,Jira
1599,858,,Microsoft Teams
1600,858,Github,
1603,858,Gitlab,
1606,878,Github,Confluence
1607,878,,Github
1608,878,,"Google Suite (Docs, Meet, etc)"
1609,878,,Jira
1610,878,,Microsoft Azure
1611,878,,Microsoft Teams
1612,878,,Slack
1613,878,,Trello
1614,878,Slack,
1622,878,Microsoft Teams,
1630,878,Microsoft Azure,
1638,887,Confluence,Confluence
1639,887,,Github
1640,887,,"Google Suite (Docs, Meet, etc)"
1641,887,,Jira
1642,887,,Slack
1643,887,Jira,
1648,887,Github,
1653,887,Slack,
1658,887,"Google Suite (Docs, Meet, etc)",
1663,894,Github,Github
1664,894,,Gitlab
1665,894,,Microsoft Teams
1666,894,,Slack
1667,894,Gitlab,
1671,894,Slack,
1675,894,Microsoft Teams,
1679,895,Jira,Jira
1680,895,,Slack
1681,895,Slack,
1683,905,Confluence,Confluence
1684,905,,Gitlab
1685,905,,"Google Suite (Docs, Meet, etc)"
1686,905,,Jira
1687,905,Jira,
1691,905,Gitlab,
1695,908,Confluence,Confluence
1696,908,,Github
1697,908,,Gitlab
1698,908,,"Google Suite (Docs, Meet, etc)"
1699,908,,Jira
1700,908,Jira,
1705,908,Github,
1710,908,Gitlab,
1715,908,"Google Suite (Docs, Meet, etc)",
1720,908,Stack Overflow for Teams,
1725,912,Gitlab,Confluence
1726,912,,Github
1727,912,,Gitlab
1728,912,,"Google Suite (Docs, Meet, etc)"
1729,912,,Jira
1730,912,,Microsoft Azure
1731,912,,Stack Overflow for Teams
1732,912,,Trello
1733,913,Jira,Trello
1734,913,Trello,
1735,921,Github,Facebook Workplace
1736,921,,Github
1737,921,,Gitlab
1738,921,,"Google Suite (Docs, Meet, etc)"
1739,921,,Jira
1740,921,,Microsoft Teams
1741,921,,Slack
1742,921,,Trello
1743,921,Gitlab,
1751,921,Slack,
1759,921,Microsoft Azure,
1767,921,Trello,
1775,921,"Google Suite (Docs, Meet, etc)",
1783,921,Stack Overflow for Teams,
1791,923,Github,Confluence
1792,923,,Github
1793,923,,"Google Suite (Docs, Meet, etc)"
1794,923,,Jira
1795,923,,Slack
1796,923,,Trello
1797,923,Slack,
1803,923,"Google Suite (Docs, Meet, etc)",
1809,931,Github,Github
1810,931,,"Google Suite (Docs, Meet, etc)"
1811,931,,Microsoft Azure
1812,931,,Slack
1813,931,Slack,
1817,931,Microsoft Azure,
1821,931,"Google Suite (Docs, Meet, etc)",
1825,939,Confluence,Confluence
1826,939,,Github
1827,939,,"Google Suite (Docs, Meet, etc)"
1828,939,,Jira
1829,939,,Microsoft Teams
1830,939,,Slack
1831,939,,Trello
1832,939,Jira,
1839,939,Github,
1846,939,Trello,
1853,950,Jira,Jira
1854,952,Github,Confluence
1855,952,,Github
1856,952,,Gitlab
1857,952,,"Google Suite (Docs, Meet, etc)"
1858,952,,Jira
1859,952,,Slack
1860,952,Gitlab,
1866,952,Slack,
1872,952,"Google Suite (Docs, Meet, etc)",
1878,965,Github,Confluence
1879,965,,Github
1880,965,,Jira
1881,965,,Microsoft Azure
1882,965,,Microsoft Teams
1883,965,,Slack
1884,965,Slack,
1890,965,Microsoft Azure,
1896,980,Github,Confluence
1897,980,,Github
1898,980,,"Google Suite (Docs, Meet, etc)"
1899,980,,Jira
1900,980,,Slack
1901,980,,Trello
1902,980,Slack,
1908,980,"Google Suite (Docs, Meet, etc)",
1914,986,Github,Github
1915,986,,Gitlab
1916,986,,Stack Overflow for Teams
1917,986,Gitlab,
1920,986,Stack Overflow for Teams,
1923,1013,Confluence,Confluence
1924,1013,,Github
1925,1013,,Gitlab
1926,1013,,Jira
1927,1013,,Microsoft Teams
1928,1013,,Slack
1929,1013,,Trello
1930,1013,Jira,
1937,1013,Github,
1944,1013,Slack,
1951,1013,Microsoft Teams,
1958,1013,Trello,
1965,1026,Github,Github
1966,1026,,Stack Overflow for Teams
1967,1026,Stack Overflow for Teams,
1969,1035,Github,Confluence
1970,1035,,Github
1971,1035,,Gitlab
1972,1035,,Jira
1973,1035,,Trello
1974,1035,Gitlab,
1979,1045,Github,Github
1980,1045,,Jira
1981,1045,,Microsoft Azure
1982,1045,,Microsoft Teams
1983,1045,Microsoft Teams,
1987,1045,Microsoft Azure,
1991,1051,Github,Github
1992,1051,,Gitlab
1993,1051,,"Google Suite (Docs, Meet, etc)"
1994,1051,,Slack
1995,1053,Slack,Microsoft Azure
1996,1053,,Microsoft Teams
1997,1053,,Slack
1998,1053,Microsoft Teams,
2001,1053,Microsoft Azure,
2004,1066,Microsoft Teams,Github
2005,1066,,Jira
2006,1066,,Slack
2007,1066,,Trello
2008,1066,Microsoft Azure,
2012,1066,"Google Suite (Docs, Meet, etc)",
2016,1077,Github,Confluence
2017,1077,,Github
2018,1077,,"Google Suite (Docs, Meet, etc)"
2019,1077,,Jira
2020,1077,,Slack
2021,1077,Gitlab,
2026,1077,Slack,
2031,1077,"Google Suite (Docs, Meet, etc)",
2036,1098,Confluence,Confluence
2037,1098,,Github
2038,1098,,Gitlab
2039,1098,,"Google Suite (Docs, Meet, etc)"
2040,1098,,Jira
2041,1098,,Slack
2042,1098,,Trello
2043,1098,Jira,
2050,1098,Github,
2057,1098,Gitlab,
2064,1098,Slack,
2071,1098,Microsoft Azure,
2078,1098,Trello,
2085,1098,"Google Suite (Docs, Meet, etc)",
2092,1118,Jira,Confluence
2093,1118,,Jira
2094,1118,,Microsoft Teams
2095,1118,Slack,
2098,1118,Trello,
2101,1121,Github,Github
2102,1121,,Gitlab
2103,1121,,"Google Suite (Docs, Meet, etc)"
2104,1121,,Slack
2105,1121,,Trello
2106,1121,Trello,
2111,1121,"Google Suite (Docs, Meet, etc)",
2116,1128,Confluence,Confluence
2117,1128,,Github
2118,1128,,"Google Suite (Docs, Meet, etc)"
2119,1128,,Jira
2120,1128,,Microsoft Teams
2121,1128,,Slack
2122,1128,,Trello
2123,1128,Jira,
2130,1128,Github,
2137,1128,Slack,
2144,1128,"Google Suite (Docs, Meet, etc)",
2151,1144,Jira,Github
2152,1144,,Jira
2153,1144,,Trello
2154,1144,Github,
2157,1144,Trello,
2160,1164,Jira,Github
2161,1164,,"Google Suite (Docs, Meet, etc)"
2162,1164,,Microsoft Azure
2163,1164,,Trello
2164,1164,Github,
2168,1164,Microsoft Azure,
2172,1166,Jira,Confluence
2173,1166,,Gitlab
2174,1166,,Jira
2175,1166,,Slack
2176,1166,Gitlab,
2180,1168,Confluence,Confluence
2181,1168,,Github
2182,1168,,Gitlab
2183,1168,,Jira
2184,1168,,Microsoft Azure
2185,1168,,Microsoft Teams
2186,1168,Jira,
2192,1168,Github,
2198,1168,Slack,
2204,1174,Confluence,Confluence
2205,1174,,Github
2206,1174,,Gitlab
2207,1174,,"Google Suite (Docs, Meet, etc)"
2208,1174,,Jira
2209,1174,,Microsoft Azure
2210,1174,,Trello
2211,1174,Jira,
2218,1174,Github,
2225,1174,Microsoft Teams,
2232,1174,Microsoft Azure,
2239,1174,Trello,
2246,1174,"Google Suite (Docs, Meet, etc)",
2253,1177,Github,Github
2254,1177,,Microsoft Azure
2255,1177,,Microsoft Teams
2256,1177,Microsoft Teams,
2259,1177,Microsoft Azure,
2262,1188,Github,Github
2263,1188,,Microsoft Teams
2264,1188,,Trello
2265,1190,Jira,Confluence
2266,1190,,Github
2267,1190,,Gitlab
2268,1190,,"Google Suite (Docs, Meet, etc)"
2269,1190,,Jira
2270,1190,,Microsoft Teams
2271,1190,,Slack
2272,1190,Github,
2279,1190,Gitlab,
2286,1190,Slack,
2293,1190,"Google Suite (Docs, Meet, etc)",
2300,1197,Confluence,Confluence
2301,1197,,Github
2302,1197,,"Google Suite (Docs, Meet, etc)"
2303,1197,,Jira
2304,1197,,Slack
2305,1197,Jira,
2310,1197,Github,
2315,1197,Slack,
2320,1197,"Google Suite (Docs, Meet, etc)",
2325,1198,Github,Github
2326,1198,Microsoft Teams,
2327,1198,Stack Overflow for Teams,
2328,1206,Confluence,Confluence
2329,1206,,Github
2330,1206,,"Google Suite (Docs, Meet, etc)"
2331,1206,,Jira
2332,1206,,Slack
2333,1206,,Trello
2334,1206,Jira,
2340,1206,Github,
2346,1206,Slack,
2352,1206,Microsoft Azure,
2358,1206,Trello,
2364,1206,"Google Suite (Docs, Meet, etc)",
2370,1216,Jira,Confluence
2371,1216,,Github
2372,1216,,Gitlab
2373,1216,,"Google Suite (Docs, Meet, etc)"
2374,1216,,Jira
2375,1216,,Microsoft Azure
2376,1216,,Microsoft Teams
2377,1216,,Slack
2378,1216,,Trello
2379,1216,Github,
2388,1216,Gitlab,
2397,1216,Slack,
2406,1216,Microsoft Teams,
2415,1216,Microsoft Azure,
2424,1216,Trello,
2433,1216,"Google Suite (Docs, Meet, etc)",
2442,1219,Slack,Github
2443,1219,,Microsoft Azure
2444,1219,,Microsoft Teams
2445,1219,,Slack
2446,1219,Microsoft Teams,
2450,1219,Microsoft Azure,
2454,1221,Github,Github
2455,1221,,Microsoft Azure
2456,1221,,Slack
2457,1221,Slack,
2460,1221,Microsoft Azure,
2463,1234,Confluence,Confluence
2464,1234,,Facebook Workplace
2465,1234,,Gitlab
2466,1234,,"Google Suite (Docs, Meet, etc)"
2467,1234,,Jira
2468,1234,,Trello
2469,1234,Jira,
2475,1234,Gitlab,
2481,1240,Github,Confluence
2482,1240,,Github
2483,1240,,Gitlab
2484,1240,,Jira
2485,1240,,Slack
2486,1240,,Stack Overflow for Teams
2487,1240,,Trello
2488,1240,Gitlab,
2495,1240,Slack,
2502,1246,Github,Confluence
2503,1246,,Github
2504,1246,,Gitlab
2505,1246,,"Google Suite (Docs, Meet, etc)"
2506,1246,,Jira
2507,1246,,Slack
2508,1246,,Trello
2509,1246,Gitlab,
2516,1246,Slack,
2523,1246,Trello,
2530,1246,"Google Suite (Docs, Meet, etc)",
2537,1246,Stack Overflow for Teams,
2544,1249,Jira,Github
2545,1249,,Gitlab
2546,1249,,Jira
2547,1249,,Microsoft Azure
2548,1249,,Microsoft Teams
2549,1249,,Slack
2550,1249,Gitlab,
2556,1249,Slack,
2562,1249,Microsoft Azure,
2568,1251,Github,Confluence
2569,1251,,Github
2570,1251,,Jira
2571,1251,,Slack
2572,1251,,Trello
2573,1251,Gitlab,
2578,1251,Slack,
2583,1251,Trello,
2588,1267,Confluence,Confluence
2589,1267,,Github
2590,1267,,Jira
2591,1267,,Microsoft Azure
2592,1267,,Slack
2593,1267,Jira,
2598,1267,Github,
2603,1267,Slack,
2608,1267,Microsoft Azure,
2613,1268,Confluence,Confluence
2614,1268,,Github
2615,1268,,"Google Suite (Docs, Meet, etc)"
2616,1268,,Jira
2617,1268,,Slack
